Grand Lisboa,2003,
Park Tower,1998,"77,632"
One Bloor Street East,2011,"78,301"
Devon Energy Center,2009,"125,812"
Capital City St. Petersburg Tower,2005,
The Masterpiece,2000,
MesseTurm,1988,"69,700"
Raffles City Hangzhou Tower 2,2010,
Sorrento 1,2000,"53,938"
U.S. Steel Tower,1967,"217,045"
Raffles City Hangzhou Tower 1,2009,"187,119"
Mokdong Hyperion Tower A,,
The Imperial I,2002,
The Imperial II,2002,
Rinku Gate Tower,,"118,047"
CITIC Ruibo Tower 1,2013,
Osaka World Trade Center,,"150,000"
Corporate Avenue 2,2010,"116,000"
The Astaka Tower B,2014,"64,893"
Toranomon Hills,2011,"244,360"
Capital Tower,1997,"95,366"
New Century Plaza Tower 1,,"55,000"
One Bennett Park,2016,
Langham Place Office Tower,,"65,868"
Jumeirah Nanjing Hotel & International Youth Cultural Centre Tower 1,2012,"92,000"
Wenzhou Zhixin Plaza,2008,
Regent Emirates Pearl,2009,"130,234"
Prima Pearl Apartments,2012,
Millennium Centennial Center,2016,"89,000"
Shenzhen AVIC Plaza,2007,
Dubai Marriott Harbour Hotel and Suites,2004,"89,115"
Wongtee Plaza,2013,
Raffles Hotel,2009,"86,799"
Kempinski Residences and Suites,,"121,862"
Chengjieyi Center,2012,"190,000"
Poly International Center,2014,"140,000"
R&F International Business Center Phase 2,2012,
Highcliff,2000,"34,931"
Golden Eagle Plaza,2013,
The Pakubuwono Signature,2011,"75,714"
Bank of Shanghai Headquarters Building,2002,"107,977"
Panorama Tower,2014,"241,548"
Conrad Dubai,2008,"134,729"
The Harbourside,2000,"128,845"
Rialto Towers,1982,
Jiali Plaza,,"191,400"
5 Taian Dao,2010,
Trump Tower At Century City,2012,
Hunter Douglas International Plaza,2010,
56 Leonard,2008,"46,452"
Skysuites @ Anson Enggor Street,2011,"23,420"
Altez @ Enggor Street,2010,"26,501"
Excellence Century Plaza Tower 2,2007,
Bravo Park Place,2014,
South China International Wharf Service Center,2014,
HKRI Centre One,2012,"107,000"
Fusheng Qianlong Plaza,2013,
Chelsea Tower,2003,"65,920"
Center 66 Office 1,,"88,560"
Beijing Yintai Centre - Park Tower,2002,"113,000"
Lianyungang Lu 66,2013,"160,590"
One Atlantic Center,,"102,073"
Xiamen Shimao Straits Tower A,2011,
Shanghai IFC South Tower,2004,
The Shang Salcedo,2012,
Haihang International Plaza Tower A,2010,
KLI 63 Building,1979,"166,207"
The Legacy at Millennium Park,2007,"99,649"
Xinjiekou Department Store Phase 2,2006,
China Merchants Bank Tower,1999,"114,500"
Yunfu Tower,2011,
Central Park Tower,1989,"66,500"
Shenzhen University Subway Station Tower,2014,
Torre de Cristal,2004,"59,827"
Infinity,2010,"59,136"
Stantec Tower,2015,
One Museum Place,2014,"184,000"
Yunda Central Plaza - St. Regis Hotel,2012,
Hwaseong Dongtan Metapolis 101,2006,
Ahuja Towers,2010,"74,436"
Torre Cepsa,2004,"107,966"
CitySpire,,"77,110"
Poly Business Center Office Tower,2011,
RunHua International Building,2005,
Hongdou International Plaza,,
Hangzhou Telecom Mansion,1999,"59,201"
Midtown Tower,2003,"234,000"
28 Liberty,1957,"213,675"
Artwin I,2012,
Artwin II,2012,
Hwaseong Dongtan Metapolis 104,2006,
State Tower,,"330,000"
Jia Fa Centre,2008,
One Avighna Park,2010,"61,873"
Brookfield Place Tower One,2013,"223,000"
Chengdu International Finance Square Tower 1,2010,
Chengdu International Finance Square Tower 2,2010,
Midland Square,2003,
181 Fremont,2013,"62,263"
Victoria One,2014,"54,000"
Rolex Tower,2007,"56,429"
YooPanama Inspired by Starck,2007,"149,335"
4 Times Square,1996,
The-W 101,2015,
The-W 102,2015,
The-W 103,2015,
The-W 104,2015,
MetLife Building,1960,"263,985"
Ningbo Bank of China Headquarters,2012,"107,787"
Torre Reforma,2009,"77,053"
Shangbang Leasing Tower,2010,
Kaiyuan Finance Center,2008,"170,000"
Evolution Tower,2008,"82,000"
Shenzhen Stock Exchange,2008,"170,000"
Tencent Seafront Tower 1,,
Ocean Two,2005,
Bloomberg Tower,2000,"84,000"
FKI Tower,2010,"116,037"
Forebase Financial Plaza,2007,"112,675"
Longemont Asia Pacific Center Tower A,2007,
Longemont Asia Pacific Center Tower B,2007,
The Sail @ Marina Bay,2005,"118,182"
Shenzhen Bay Ecocity B-Tech Tower 2,2014,
Al Fattan Tower,2003,
JR Central Office Tower,1990,
Oasis Beach Tower,2003,
Marina Bay Financial Centre Office Tower II,2006,"95,662"
One Raffles Quay North Tower,2002,
Sinarmas MSIG Tower,2012,"81,598"
