Lotte Center Hanoi,Hanoi,VN,272,65,2014,composite,residential / office / hotel,2009,"247,078"
Burj Vista Tower 1,Dubai,AE,272,63,2018,concrete,residential,2013,
Central Financial Street Tower,Nanchang,CN,272,58,2018,concrete,office,2014,
Taipei Nan Shan Plaza,Taipei,TW,272,46,2018,composite,office,2013,"79,599"
Aura at College Park,Toronto,CA,271.9,78,2014,concrete,residential,2010,"123,732"
Shanghai Wheelock Square,Shanghai,CN,270.5,55,2010,concrete,office,2003,"114,075"
Renaissance Tower,Dallas,US,270.1,56,1986,steel,office,,"160,814"
Ryomyong Street Apartment Building,Pyongyang,KP,270,82,2017,concrete,residential,2016,
Tianhui Plaza C3,Guangzhou,CN,270,60,2016,composite,office,2012,
Greenland Center Tower 1,Xi?€?an,CN,270,57,2016,composite,office,2013,
Greenland Center Tower 2,Xi?€?an,CN,270,57,2018,composite,office,2013,
Bohai Bank Tower,Tianjin,CN,270,55,2015,composite,office,2010,
The Cullinan I,Hong Kong,CN,269.9,68,2008,concrete,residential,,
The Cullinan II,Hong Kong,CN,269.9,68,2008,concrete,residential / hotel,,
Huayuan Center Tower 7,Changsha,CN,269.7,54,2016,composite,office,2012,
Four Seasons Hotel,Manama,BH,269.7,50,2015,concrete,hotel,2010,
Brisbane Skytower,Brisbane,AU,269.6,90,2019,concrete,residential,2015,"120,400"
China International Center Tower B,Guangzhou,CN,269.5,62,2007,concrete,office,2003,"87,464"
Dapeng International Plaza,Guangzhou,CN,269.4,56,2007,composite,office,2003,"131,792"
One Lujiazui,Shanghai,CN,269.1,47,2008,concrete,office,,"111,793"
Radisson Royal Hotel Dubai,Dubai,AE,269,60,2010,concrete,hotel,2007,
21st Century Tower,Dubai,AE,269,55,2003,steel/concrete,residential,2001,"86,000"
Tongde Kunming Plaza,Kunming,CN,269,54,2015,composite,hotel / office,2012,
Mandarin Oriental Residences Bangkok,Bangkok,TH,268.7,52,2019,concrete,serviced apartments,2015,
Naberezhnaya Tower Block C,Moscow,RU,268.4,61,2007,composite,office,2005,"136,651"
DAMAC Paramount Hotel & Residences,Dubai,AE,268.1,69,2018,concrete,residential / hotel,2013,
"DAMAC Towers by Paramount, Tower 1",Dubai,AE,268.1,69,2018,concrete,residential,2013,
"DAMAC Towers By Paramount, Tower 2",Dubai,AE,268.1,69,2018,concrete,residential,2013,
"DAMAC Towers by Paramount, Tower 3",Dubai,AE,268.1,69,2018,concrete,residential,2013,
Victoria Square 1,Dalian,CN,268,68,2018,composite,office,2012,
Victoria Square 2,Dalian,CN,268,68,2018,composite,office,2012,
Nation Towers Residential Lofts,Abu Dhabi,AE,268,64,2012,concrete,residential,2008,"74,545"
Suzhou Center,Suzhou,CN,268,52,2013,concrete,hotel / office,2010,
Jiangxi Nanchang Greenland Zifeng Tower,Nanchang,CN,268,56,2015,composite,hotel / office,2012,"209,058"
Bank of Guangzhou Tower,Guangzhou,CN,267.8,57,2012,concrete,office,2008,"122,584"
10 Hudson Yards,New York City,US,267.7,52,2016,composite,office / retail,2013,"166,827"
Bicsa Financial Center,Panama City,PA,267,66,2013,concrete,hotel / office,2008,"211,920"
Fortune Financial Center,Beijing,CN,267,60,2014,composite,office,2009,"151,585"
Petronas Tower 3,Kuala Lumpur,MY,267,60,2012,concrete,office,2008,"141,300"
Al Faisaliah Center,Riyadh,SA,266.9,30,2000,steel/concrete,office / hotel,1997,
The Point,Panama City,PA,266,67,2011,concrete,residential,,
Suning Plaza Tower A,Xuzhou,CN,266,62,2017,composite,hotel / serviced apartments / office,2013,
Bank of America Corporate Center,Charlotte,US,265.5,60,1992,concrete,office,1989,"130,063"
Eight Spruce Street,New York City,US,265.2,76,2011,concrete,residential,2006,"92,903"
Changzhou Modern Media Center,Changzhou,CN,265.1,58,2013,composite,residential / hotel / office,2010,"89,767"
Doosan Haeundae We've the Zenith Tower C,Busan,KR,265,70,2011,concrete,residential,2007,
900 North Michigan Avenue,Chicago,US,265,66,1989,concrete/steel,residential / residential / office / hotel,,
Business Central Tower 1,Dubai,AE,265,53,2008,concrete,office,2005,"102,021"
Business Central Tower 2,Dubai,AE,265,53,2008,concrete,office,2005,"102,021"
WBC The Palace 1,Busan,KR,265,51,2011,concrete,residential,2008,
WBC The Palace 2,Busan,KR,265,51,2011,concrete,residential,2008,
