Eureka Tower,Melbourne,AU,297.3,123000,91,2001,2006,concrete,residential
Comcast Center,Philadelphia,US,296.7,130064,57,2005,2008,composite,office
Landmark Tower,Yokohama,JP,296.3,392791,73,,1993,steel,hotel / office
R&F Yingkai Square,Guangzhou,CN,296.2,142956,66,2008,2014,composite,residential / hotel / office
Emirates Crown,Dubai,AE,296,,63,2005,2008,concrete,residential
China World Trade Center Phase 3B,Beijing,CN,295.6,225806,59,2013,2017,composite,hotel / office
Xiamen Shimao Straits Tower B,Xiamen,CN,295.3,,67,2011,2015,composite,office
Millennium Hotel,Dubai,AE,294,,66,2004,2011,concrete,hotel
Riverfront Times Square,Shenzhen,CN,293,,64,2012,2016,composite,hotel / office
Ping An Finance Center South,Shenzhen,CN,293,,51,2015,2019,composite,hotel / office
311 South Wacker Drive,Chicago,US,292.9,130942,65,1988,1990,concrete,office
Sky Tower,Abu Dhabi,AE,292.2,,74,2006,2010,concrete,residential / office
Haeundae I Park Marina Tower 2,Busan,KR,292.1,,72,2007,2011,composite,residential
SEG Plaza,Shenzhen,CN,291.6,169083,71,,2000,concrete,office
220 Central Park South,New York City,US,290.2,38494,70,2014,2019,concrete,residential
70 Pine,New York City,US,290.2,80360,67,1930,1932,steel,office
Concord International Centre,Chongqing,CN,290,111919,64,2012,2017,composite,hotel / office / retail
Powerlong Center Tower 1,Tianjin,CN,289.9,,59,2011,2019,composite,office
Dongguan TBA Tower,Dongguan,CN,289,280000,68,2008,2013,composite,hotel / office
Busan International Finance Center Landmark Tower,Busan,KR,289,,63,2011,2014,concrete,office
Key Tower,Cleveland,US,288.7,116127,57,1988,1991,composite,office
China Chuneng Tower,Shenzhen,CN,288.6,,62,2013,2016,composite,office
Plaza 66,Shanghai,CN,288.2,131100,66,1994,2001,concrete,office
One Liberty Place,Philadelphia,US,288,111483,61,,1987,steel,office
Sulafa Tower,Dubai,AE,288,107300,76,2006,2010,concrete,residential
Kaisa Center,Huizhou,CN,288,,66,2009,2015,concrete,hotel / office
Yingli International Finance Centre,Chongqing,CN,288,173500,58,2009,2012,concrete,office
Shaoxing Shimao Crowne Plaza,Shaoxing,CN,288,101521,55,2008,2012,composite,hotel / office
Soochow International Plaza East Tower,Huzhou,CN,288,,50,2010,2014,composite,hotel / office
Soochow International Plaza West Tower,Huzhou,CN,288,,50,2010,2014,composite,residential
United International Mansion,Chongqing,CN,287,117138,67,1998,2013,concrete,office
HNA&POLY International Centre,Chongqing,CN,286.8,,61,2007,2013,concrete,office / hotel / retail
Huaxun Center,Shenzhen,CN,286,,70,2014,2018,concrete,office
Gama Tower,Jakarta,ID,285.5,163466,64,2011,2016,concrete,hotel / office
Millennium Tower,Dubai,AE,285.1,99800,59,2004,2006,concrete,residential
Tomorrow Square,Shanghai,CN,284.6,93000,60,1997,2003,concrete,residential / hotel / office
Columbia Center,Seattle,US,284.4,142891,76,1982,1984,composite,office
JW Marriott Panama,Panama City,PA,284,252000,70,2007,2011,concrete,residential / hotel / casino
Skyland Office Tower,Istanbul,TR,284,,65,2013,2017,concrete,office
Skyland Residential Tower,Istanbul,TR,284,,64,2013,2017,concrete,residential
Three International Finance Center,Seoul,KR,284,130940,55,2007,2012,composite,office
Greenland Zhengzhou Central Plaza South Tower,Zhengzhou,CN,283.9,,63,2012,2017,composite,office
Zhengzhou Greenland Central Plaza North Tower,Zhengzhou,CN,283.9,,63,2012,2017,composite,office
Tanjong Pagar Centre,Singapore,SG,283.7,,65,2013,2016,composite,residential / office
Chongqing World Trade Center,Chongqing,CN,283.1,,60,,2005,concrete,office
Cheung Kong Centre,Hong Kong,CN,282.8,125418,63,,1999,steel,office
GT Land Landmark Plaza South Tower,Guangzhou,CN,282.8,,47,2010,2016,composite,residential / hotel
The Trump Building,New York City,US,282.6,103278,71,1929,1930,steel,office
30 Park Place,New York City,US,282.2,63453,67,2008,2016,concrete,residential / hotel
City of Lights C1 Tower,Abu Dhabi,AE,282.1,,62,2009,2015,concrete,office
Al Hekma Tower,Dubai,AE,282,,64,2006,2016,steel/concrete,office
Suzhou RunHua Global Building A,Suzhou,CN,282,78804,49,2007,2010,composite,office
Doosan Haeundae We've the Zenith Tower B,Busan,KR,281.5,120136,75,2007,2011,concrete,residential
Bank of America Plaza,Dallas,US,280.7,171312,72,1983,1985,composite,office
Torre Vitri,Panama City,PA,280.7,,75,2007,2012,concrete,residential
Lanzhou City Plaza Building 1,Lanzhou,CN,280.5,,60,2015,2018,composite,hotel / office
Marina Pinnacle,Dubai,AE,280,,73,2005,2011,concrete,residential
United Overseas Bank Plaza One,Singapore,SG,280,92902,66,,1992,steel,office
China Resources Center 2,Hefei,CN,280,,65,2012,2017,concrete,office / hotel
Excellence Century Plaza Tower 1,Shenzhen,CN,280,115000,60,2007,2010,composite,office
Metropol Tower Istanbul,Istanbul,TR,280,,58,2013,2017,concrete,hotel / residential / office
Zhengzhou Greenland Plaza,Zhengzhou,CN,280,240169,56,2007,2014,composite,hotel / office
The Address Residence  Fountain Views I,Dubai,AE,279.9,,71,2014,2018,concrete,serviced apartments
The Address Residence  Fountain Views II,Dubai,AE,279.9,,71,2014,2018,concrete,serviced apartments
Bodi Center Tower C,Hangzhou,CN,279.7,,57,2013,2017,composite,office
Treasury Tower,Jakarta,ID,279.5,,57,2013,2018,concrete,office
Eton Place Dalian Tower 2,Dalian,CN,279.5,90533,62,2008,2015,composite,residential / office
Torre KOI,San Pedro Garza Garc??a,MX,279.1,1900,65,2013,2017,concrete,residential / office
Abraj Al Bait ZamZam Tower,Mecca,SA,279,,58,,2012,concrete,hotel
601 Lexington,New York City,US,278.9,146683,63,1974,1977,steel,office
The Astaka Tower A,Johor Bahru,MY,278.8,68462,72,2014,2018,concrete,residential
15 Hudson Yards,New York City,US,278.6,91070,70,2014,2019,concrete,residential
Hong Kong New World Tower,Shanghai,CN,278.3,136833,59,1998,2004,composite,hotel / office / retail
Logan International Headquarters Tower 1,Nanning,CN,278,,58,2014,2018,steel/concrete,office
Overseas Union Bank Centre,Singapore,SG,277.8,101784,63,1982,1986,steel,office
Etihad Towers T1,Abu Dhabi,AE,277.6,70908,69,2007,2011,concrete,hotel / residential
D1 Tower,Dubai,AE,277.5,88228,78,2007,2015,concrete,residential
The St. Regis Toronto,Toronto,CA,276.9,74510,63,2007,2012,concrete,residential / hotel
World Trade Center Abu Dhabi  The Offices,Abu Dhabi,AE,276.6,90000,60,2007,2014,concrete,office
Republic Plaza,Singapore,SG,276.3,91782,66,1993,1996,composite,office
Abraj Al Bait Hajar Tower,Mecca,SA,276,,54,,2012,concrete,hotel
Diwang International Commerce Center,Nanning,CN,276,,54,2003,2006,concrete,hotel / office
Tianyue Xinchen Tower 1,Wuhan,CN,275.3,,43,2014,2018,composite,office
Scotia Tower,Toronto,CA,275,148658,68,1985,1988,composite,office
Riverside Century Plaza Main Tower,Wuhu,CN,275,,66,2011,2015,composite,hotel / office
Williams Tower,Houston,US,274.6,148644,64,1981,1982,steel,office
Victoria Dockside,Hong Kong,CN,274.5,127858,64,2013,2017,concrete,serviced apartments / hotel / office
Ilham Tower,Kuala Lumpur,MY,274,8250,58,2010,2015,concrete,residential / office
Nantong Zhongnan International Plaza,Nantong,CN,273.3,118732,53,2008,2011,steel/concrete,residential / office
Shenzhen Bay Ecocity BTech Tower 1,Shenzhen,CN,273,,58,2014,2018,composite,hotel / office
NEO Tower A,Shenzhen,CN,273,,56,2007,2011,concrete,office
Shimao International Center Office Tower,Fuzhou,CN,273,,56,2010,2013,composite,office
Haeundae I Park Marina Tower 1,Busan,KR,272.9,,66,2007,2011,composite,residential
Lotte Center Hanoi,Hanoi,VN,272,247078,65,2009,2014,composite,residential / office / hotel
Burj Vista Tower 1,Dubai,AE,272,,63,2013,2018,concrete,residential
Central Financial Street Tower,Nanchang,CN,272,,58,2014,2018,concrete,office
Taipei Nan Shan Plaza,Taipei,TW,272,79599,46,2013,2018,composite,office
Aura at College Park,Toronto,CA,271.9,123732,78,2010,2014,concrete,residential
Shanghai Wheelock Square,Shanghai,CN,270.5,114075,55,2003,2010,concrete,office
Renaissance Tower,Dallas,US,270.1,160814,56,,1986,steel,office
Ryomyong Street Apartment Building,Pyongyang,KP,270,,82,2016,2017,concrete,residential
Tianhui Plaza C3,Guangzhou,CN,270,,60,2012,2016,composite,office
Greenland Center Tower 1,Xi?€?an,CN,270,,57,2013,2016,composite,office
Greenland Center Tower 2,Xi?€?an,CN,270,,57,2013,2018,composite,office
Bohai Bank Tower,Tianjin,CN,270,,55,2010,2015,composite,office
The Cullinan I,Hong Kong,CN,269.9,,68,,2008,concrete,residential
The Cullinan II,Hong Kong,CN,269.9,,68,,2008,concrete,residential / hotel
Huayuan Center Tower 7,Changsha,CN,269.7,,54,2012,2016,composite,office
Four Seasons Hotel,Manama,BH,269.7,,50,2010,2015,concrete,hotel
